coach_code,name,gender,function,country_code,disciplines,birth_date
1967642,IGLESIAS Rodrigo,M,Assistant Coach,BRA,Football,
1967672,ALCANTARA Edson,M,Goalkeeper Coach,BRA,Football,
1967683,ELIAS Arthur,M,Head Coach,BRA,Football,1981-08-05
1968210,LALOMILO Faamaoni,M,Assistant Coach,SAM,Rugby Sevens,1971-01-30
1968247,CIRKOVIC Vedran,M,Assistant Coach,AUS,Water Polo,1988-03-14
1968453,CHERNETSKA Nataliya,F,Coach,GRE,Artistic Swimming,1974-04-01
1968484,KAMMENOU Alexia Anna,F,Head Coach,GRE,Water Polo,1969-07-25
1968489,LEMPESIS Xenofon,M,Assistant Coach,GRE,Water Polo,1972-12-16
1968491,PYRPYRIS Anastasios,M,Assistant Coach,GRE,Water Polo,1983-04-15
1968492,SCHIZAS Anastasios,M,Assistant Coach,GRE,Water Polo,1977-02-18
1968495,VLACHOS Theodoros,M,Head Coach,GRE,Water Polo,1969-07-09
1968531,KANTZOURIS Ilias,M,Assistant Coach,GRE,Basketball,1973-08-11
1968540,SPANOULIS Vasilis,M,Coach,GRE,Basketball,1982-08-07
1968567,RAFTIS Dimitrios,M,Coach,GRE,Artistic Gymnastics,1967-12-19
1968759,JENNINGS Stephen,M,Coach,EOR,Taekwondo,1981-12-25
1968802,FJELLSTROM Jens,M,Assistant Coach,AUS,Football,1966-10-27
1968822,ANDREATTA Mel,F,Assistant Coach,AUS,Football,1979-01-26
1968838,GUSTAVSSON Tony,M,Head Coach,AUS,Football,1973-08-14
1968868,van ECK Richard,M,Assistant Coach,NED,Water Polo,1983-03-08
1968871,DOUDESIS Eva,M,Head Coach,NED,Water Polo,1985-03-12
1968964,MOGHANLOU Bijan,M,Coach,EGY,Taekwondo,1969-10-21
1969275,SICOT David Patrick,M,Coach,LBN,Taekwondo,1985-10-24
1969357,SEKTIOUI Tarik,M,Head Coach,MAR,Football,
1969386,HADJI Youssouf,M,Assistant Coach,MAR,Football,1980-02-25
